;Messzeit;Messort;Laendercode;Sonnenaufgang;Sonnenuntergang;Temperatur (°C);Luftfeuchtigkeit (%);Bewoelkung (%);Luftdruck (hpa);Windgeschwindigkeit (m/s);Windrichtung (Deg)
0;12.10.18 10:20;Berlin Schoeneberg;DE;07:26;18:18;17,00;63;0;1022;3,1;150.0
0;12.10.18 10:50;Berlin Schoeneberg;DE;07:27;18:17;18,49;55;0;1022;2,6;170.0
0;12.10.18 11:20;Berlin Schoeneberg;DE;07:27;18:17;19,00;52;0;1022;3,1;180.0
0;12.10.18 11:50;Berlin Schoeneberg;DE;07:27;18:17;20,00;49;0;1023;2,1;180.0
0;12.10.18 12:20;Berlin Schoeneberg;DE;07:27;18:17;21,00;46;0;1022;3,1;160.0
0;12.10.18 12:50;Berlin Schoeneberg;DE;07:27;18:17;22,00;43;0;1022;3,1;160.0
0;12.10.18 13:20;Berlin Schoeneberg;DE;07:27;18:17;22,49;40;0;1022;3,1;150.0
0;12.10.18 13:50;Berlin Schoeneberg;DE;07:27;18:17;23,00;38;0;1022;2,6;200.0
0;12.10.18 14:20;Berlin Schoeneberg;DE;07:27;18:17;24,00;38;0;1022;2,6;170.0
0;12.10.18 14:50;Berlin Schoeneberg;DE;07:27;18:17;24,00;36;0;1022;3,6;180.0
0;12.10.18 15:20;Berlin Schoeneberg;DE;07:27;18:17;25,00;36;0;1022;3,1;190.0
0;12.10.18 15:50;Berlin Schoeneberg;DE;07:27;18:17;25,00;33;0;1023;3,6;170.0
0;12.10.18 16:20;Berlin Schoeneberg;DE;07:27;18:17;25,00;33;0;1023;3,1;170.0
0;12.10.18 16:50;Berlin Schoeneberg;DE;07:27;18:17;25,00;33;0;1022;2,6;150.0
0;12.10.18 17:20;Berlin Schoeneberg;DE;07:27;18:17;24,00;36;0;1022;3,1;150.0
0;12.10.18 17:50;Berlin Schoeneberg;DE;07:27;18:17;23,49;38;0;1022;2,6;150.0
0;12.10.18 18:20;Berlin Schoeneberg;DE;07:27;18:17;22,49;40;0;1023;2,6;140.0
0;12.10.18 18:50;Berlin Schoeneberg;DE;07:27;18:17;20,49;46;0;1023;2,1;140.0
0;12.10.18 19:20;Berlin Schoeneberg;DE;07:27;18:17;18,99;52;0;1023;1,87;177.0
0;12.10.18 19:50;Berlin Schoeneberg;DE;07:27;18:17;18,51;55;0;1024;1;100.0
0;12.10.18 20:20;Berlin Schoeneberg;DE;07:27;18:17;17,49;63;0;1024;0,5;-1.0
0;12.10.18 20:50;Berlin Schoeneberg;DE;07:27;18:17;15,99;67;0;1024;0,5;-1.0
0;12.10.18 21:20;Berlin Schoeneberg;DE;07:27;18:17;15,49;72;0;1024;1;70.0
0;12.10.18 21:50;Berlin Schoeneberg;DE;07:27;18:16;15,49;72;0;1024;1;60.0
0;12.10.18 22:20;Berlin Schoeneberg;DE;07:27;18:16;15,00;77;0;1024;1;-1.0
0;12.10.18 22:50;Berlin Schoeneberg;DE;07:27;18:16;14,49;77;0;1024;1;-1.0
0;12.10.18 23:20;Berlin Schoeneberg;DE;07:27;18:16;14,99;72;0;1024;1;-1.0
0;12.10.18 23:50;Berlin Schoeneberg;DE;07:27;18:16;14,99;72;0;1024;0,5;-1.0
0;13.10.18 00:20;Berlin Schoeneberg;DE;07:28;18:16;14,48;72;0;1024;1;110.0
